"player","pos","sprint","bench","bar","pdhgt","overall_pick","games","win_shares"
"Dominique Jones","SG",3.31,19,1.08,133.5,25,80,0.3
"Donovan Mitchell","SG",3.01,10,1.119,137.5,13,345,29
"Donte DiVincenzo","SG",3.11,12,1.033,139.5,17,201,9.2
"Doron Lamb","SG-PG",3.41,2,1.047,132,42,100,0.1
"Draymond Green","PF-SF",3.4,9,1.096,138,35,685,52.7
"Drew Gooden","PF",3.19,13,1.046,139.5,4,790,43.9
"Dwayne Bacon","SG-SF",3.22,8,1.068,140,40,207,0.8
"Dwight Howard","PF-C",3.14,7,1.093,147,1,1242,141.7
"Dwyane Wade","SG-SF",3.08,9,1.092,137,5,1054,120.7
"Dylan Windler","SF",3.3,8,1.048,142,26,81,1.3
"Earl Clark","SF-PF",3.35,5,1.075,142.5,14,261,2.9
"Earl Watson","PG",3.19,4,1.094,134.5,40,878,19.2
"Eddie Griffin","PF-SF",3.21,3,1.071,143,7,303,10.9
"Eddie House","SG-PG",3.27,5,1.052,133.5,37,717,20
"Eddy Curry","C",3.53,16,1.097,142,4,527,21.7
"Ekpe Udoh","PF",3.29,10,1.096,140,6,384,10.4
"Emeka Okafor","C-PF",3.15,22,1.09,144.5,2,616,45.3
"Eric Gordon","SG",3.01,15,1.095,139,7,749,36.3
"Eric Maynor","PG",3.19,8,1.003,128.5,20,267,3.3
"Eric Paschall","SF",3.3,18,1.074,141.5,41,158,5
"Eric Williams","C-PF",3.56,17,1.114,135.5,14,658,23.2
"Erik Murphy","PF",3.57,13,1.022,137.5,49,24,-0.1
"Evan Turner","SG",3.27,9,1.029,138,2,705,20.2
"Fab Melo","C",3.44,9,1.045,141,22,6,0
"Festus Ezeli","C-PF",3.29,18,1.098,141.5,30,170,5.9
"Frank Jackson","PG",3.14,9,1.074,140,31,213,2.5
"Gani Lawal","PF",3.24,20,1.057,139,46,1,0
"Gary Trent","SG",3.12,12,1.059,137.5,11,506,23.2
"George Hill","PG",3.07,9,1.106,135,26,869,69.1
"George King","SF-SG",3.29,15,1.088,140.5,59,5,-0.1
"Gerald Green","SF",3.21,7,1.048,143,18,658,18.4
"Gerald Henderson","SG-SF",3.14,8,1.082,137.5,12,535,18.3
"Gilbert Arenas","SG",3.25,12,1.098,135.5,31,552,51.3
"Glen Rice","SF-SG",3.25,10,1.062,142,4,1000,88.7
"Gordon Hayward","SF",3.22,10,1.013,137.5,9,734,60.1
"Grant Jerrett","PF",3.51,2,1.065,143,40,8,-0.1
"Grant Williams","PF",3.33,20,1.051,136,22,209,7.7
"Greg Monroe","PF-C",3.35,15,1.055,137.5,7,646,50.4
"Hakim Warrick","PF-SF",3.22,11,1.085,146,19,526,20.4
"Hamidou Diallo","SG",3.1,1,1.095,143.5,45,207,4.9
"Harrison Barnes","SF-SG",3.16,15,1.054,141,7,747,44.8
"Harry Giles","PF",3.34,5,1.074,142,20,142,3
"Hassan Whiteside","C-PF",3.54,12,1.103,144.5,33,511,52
"Hilton Armstrong","C-PF",3.53,13,1.08,140.5,12,292,3.9
"Ignas Brazdeikis","SF",3.36,13,1.045,138.5,47,64,0.4
"Ike Anigbogu","C",3.44,11,1.121,143,47,14,0
"Ike Diogu","PF",3.45,21,1.115,140,9,225,6.5
"Iman Shumpert","PG-SG",3.18,18,1.069,141.5,17,461,12.9
"Isaiah Canaan","PG",3.22,16,1.077,135,34,235,4.3
"Isaiah Roby","PF",3.25,9,1.073,141.5,45,109,4.1
"Isaiah Thomas","PG",3.14,13,1.073,131.5,60,550,45.3
"Ivan Rabb","PF",3.35,3,1.059,141.5,35,85,3.2
"J.R. Smith","SG-SF",3.21,5,1.058,139.5,18,977,46.3
"Jackson Vroman","PF-C",3.25,12,1.034,139,31,87,0
"Jacob Evans","SG-SF",3.2,8,1.066,138,28,59,-0.6
"Jae Crowder","SF",3.37,20,1.059,134,34,735,40.2
"JaJuan Johnson","PF",3.14,15,1.062,145.5,27,36,0.2
"Jalen Brunson","PG",3.15,7,1.041,133,33,277,17.3
"Jalen McDaniels","SF",3.32,0,1.05,139,52,118,3.4
"Jamaal Tinsley","PG",3.2,1,1.093,135,27,547,17.2
"Jameer Nelson","PG",3.14,15,1.049,128.5,20,878,48.3
"James Anderson","SF",3.19,14,1.049,139.5,20,247,3.3
"James Augustine","PF",3.25,13,1.05,136.5,41,27,0.3
"James Harden","SG",3.13,17,1.089,140.5,3,942,149.6
"James Johnson","SF-PF",3.23,18,1.073,140.5,16,747,27.5
"James Jones","SF",3.19,9,1.091,140.5,49,709,25.2
"James Lang","C-PF",3.55,8,1.125,142,48,11,0.1
"Jamison Brewer","PG",3.15,12,1.084,135,41,54,0
"Jared Dudley","SF",3.45,14,1.026,134,22,904,43
"Jared Jeffries","PF",3.4,9,1.03,139,11,629,13.1
"Jared Sullinger","PF",3.81,9,1.069,136.5,21,269,15.3
"Jarell Martin","PF",3.27,19,1.013,141.5,25,184,3.2
"Jaron Blossomgame","SF",3.17,16,1.055,140,59,27,0.3
"Jarrett Allen","C",3.21,4,1.102,145,22,341,34.9
"Jarrett Jack","PG",3.24,5,1.067,128.5,22,867,36.8
"Jarron Collins","C-PF",3.6,10,1.071,133,53,542,15.7
"Jarvis Varnado","PF-C",3.37,3,1.09,142,41,37,0.7
"Jason Collins","PF-C",3.54,8,1.076,138.5,18,735,20.1
"Jason Hart","PG",3.34,9,1.058,131,49,341,8.6
"Jason Kapono","SG-SF",3.38,8,1,132,31,509,10.3
"Jason Richardson","SF-SG",3.12,15,1.088,142,5,857,59.1
"Jason Smith","PF",3.29,15,1,143.5,20,616,14.1
"JaVale McGee","C-PF",3.25,7,1.084,147,18,821,42.4
"Javaris Crittenton","PG",3.32,11,1.033,136,19,113,0.1
"Jawun Evans","PG",3.21,1,1.095,128.5,39,56,-0.4
"Jaxson Hayes","PF",3.37,5,1.064,145,8,194,12.5
"Jay Williams","PG",3.09,10,1.045,133,2,75,0.8
"Jaylen Nowell","SG",3.23,2,1.053,136.5,43,119,3.7
"Jeff Ayres","PF",3.14,15,1.053,142,31,237,6.3
"Jeff Green","SF",3.34,17,1.079,141,5,1051,50.3
"Jeff Taylor","SF-SG",3.29,15,1.003,141.5,31,132,1.3
"Jeff Teague","PG",3.18,13,1.1,135,19,826,52.4
"Jeff Withey","C",3.47,10,1.039,139.5,39,206,6.8
"Jeremy Lamb","SG",3.25,5,1.092,140,12,573,26.8
"Jeremy Tyler","PF-C",3.29,10,1.099,144,39,104,0.3
"Jermaine Taylor","SG",3.32,16,1.07,138.5,32,65,0.2
"Jermareo Davidson","PF",3.53,7,1.086,139.5,36,52,0
"Jerome Beasley","SF-PF",3.25,10,1.043,139,33,2,0
"Jerryd Bayless","PG-SG",3.07,10,1.024,135,11,586,18.6
"Jeryl Sasser","PG-SG",3.22,1,1.065,137.5,22,82,0.7
"Jevon Carter","PG",3.18,14,1.055,131.5,32,223,4.5
"Jimmy Butler","SF",3.15,14,1.019,140.5,30,690,93.6
"Joakim Noah","PF",3.47,12,1.04,144,9,672,61.9
"Jodie Meeks","SG",3.1,14,1.02,135,41,539,24.3
"Joe Alexander","SF-PF",2.99,24,1.054,144.5,8,67,0.5
"Joe Crawford","SG",3.22,13,1.037,135.5,58,2,0
"Joe Johnson","SF-SG",3.4,12,1.029,141.5,10,1277,82.9
"Joey Dorsey","PF-C",3.2,19,1.096,140,33,130,2.9
"Joey Graham","SF",3.05,26,1.036,140,16,377,7.8
"John Collins","PF",3.27,15,1.037,144,19,293,28.1
"John Jenkins","SG",3.37,10,1.07,134.5,23,171,3
"John Salmons","SF-SG",3.25,12,1.061,138.5,26,895,33.9
"Jon Leuer","PF",3.36,14,1.024,142,40,377,13.2
"Jonny Flynn","PG",3.23,10,1.067,135.5,6,163,-1.1
"Jordan Bell","PF",3.21,16,1.06,142.5,38,161,4.9
"Jordan Bone","SG",3.08,7,1.024,137.5,57,24,0.1
"Jordan Crawford","SG",3.37,7,1.053,135.5,27,281,6.3
"Jordan Farmar","PG",3.17,11,1.031,136.5,26,504,13.9
"Jordan Hamilton","SF",3.3,7,1.035,136,26,151,3
"Jordan Hill","PF-C",3.3,11,1.052,143,8,409,16.4
"Jordan Mickey","PF",3.28,9,1.104,143.5,33,64,0.5
"Jordan Williams","PF",3.45,10,1.056,137,36,43,1.3
"Joseph Forte","SG",3.19,10,1.04,133.5,21,25,-0.4
"Josh Childress","SG-SF",3.38,11,1.068,141,6,391,25.7
"Josh Hart","SG-SF",3.18,9,1.059,136.5,30,296,15.7
"Josh Howard","SF-SG",3.09,4,1.113,142,29,507,38
"Josh McRoberts","PF",3.47,12,1.063,138,37,433,18.5
"Josh Okogie","SG",3.04,12,1.12,144,20,244,5.3
"Josh Selby","SG-PG",3.2,5,1.047,140,49,38,-0.7
"Josh Smith","SG-SF",3.24,12,1.063,146,17,894,51
"Jrue Holiday","PG-SG",3.21,6,1.05,134.5,17,839,56.4
"Julian Wright","SF-PF",3.36,2,1.099,141.5,13,231,3.9
"Julius Hodge","SG-SF",3.18,14,1.083,136.5,20,23,0
"Justin Anderson","SF-SG",3.22,12,1.084,144,21,242,4.9
"Justin Hamilton","PG-SG",3.18,17,1.107,140.5,45,113,3.7
"Justin Harper","PF-SF",3.3,19,1.047,139,32,22,-0.3
"Kadeem Allen","PG",3.15,7,1.113,135,53,47,1
"Kareem Rush","SG-SF",3.22,15,1.065,133.5,20,346,1.7
"Kawhi Leonard","SF",3.15,3,1.115,138,15,576,83.3
"Keita Bates-Diop","SG-SF",3.17,11,1.101,141.5,48,163,3.5
"Keith Benson","C-PF",3.35,12,1.07,145.5,48,3,0
"Keith Bogans","SG",3.25,10,1.066,136,43,671,20.4
"Kelly Olynyk","PF-C",3.59,5,0.988,137.5,13,610,35.3
"Kemba Walker","PG",3.16,7,1.056,131,9,741,59.6
"Ken Johnson","C",3.12,13,1.063,144.5,49,16,0
"Kenneth Faried","PF",3.26,16,1.077,143,22,478,38.8
"Kenny Satterfield","PG",3.2,3,1.048,131,54,75,-1.1
"Kentavious Caldwell-Pope","SG",3.12,7,1.046,135,8,683,34.6
"Kevin Durant","SF-PF",3.45,0,1.096,143.5,2,939,155.2
"Kevin Hervey","PF",3.36,4,1.115,139,57,10,-0.1
"Kevin Huerter","SG",3.09,9,1.016,139.5,19,274,9.4
"Kevin Love","PF",3.22,18,1.044,141,5,812,88.6
"Kevin Murphy","SG",3.42,11,1.023,135.5,47,17,-0.3
"Khalid El-Amin","PG",3.32,6,1.065,125,34,50,0.6
"Khris Middleton","SF",3.47,4,1.051,134,39,651,50.6
"Khyri Thomas","SG",3.18,14,1.107,136,38,39,0.5
"Kirk Haston","PF-SF",3.35,11,1.053,137.5,16,27,-0.5
"Kirk Hinrich","PG-SG",3.1,10,1.043,132,7,879,52.5
"Kirk Snyder","SG-SF",3.13,19,1.038,139,16,211,4.5
"Klay Thompson","SG",3.24,5,1.042,135,11,647,48.5
"Kostas Antetokounmpo","PF",3.21,0,1.065,145,60,22,-0.2
"Kris Humphries","PF",3.2,22,1.053,142.5,14,800,30.3
"Kris Joseph","SG",3.46,6,1.064,139,51,10,-0.1
"Kwame Brown","PF-C",3.45,17,1.037,141,1,607,20.8
"Kyle Guy","SG",3.27,4,1.052,132,55,53,0.1
"Kyle Korver","SF",3.47,13,1.042,134,51,1232,73.4
"Kyle Kuzma","SF-SG",3.25,12,1.053,141.5,27,342,14.2
"Kyle Singler","SF",3.21,10,1.033,136,33,356,10
"KZ Okpala","SF",3.38,9,1.082,143.5,32,63,0.7
"LaMarcus Aldridge","PF-C",3.43,8,1.082,144,2,1076,115.7
"Lance Stephenson","SG",3.38,10,1.078,136,40,554,17.5
"Landry Shamet","PG",3.11,8,1.036,139.5,26,262,10.6
"Larry Sanders","PF-C",3.27,7,1.105,140,15,238,10.3
"Lavor Postell","SG",3.3,17,1.052,138,39,61,-0.2
"Lawrence Roberts","PF",3.3,18,1.025,139.5,55,87,2.5
"Lazar Hayward","SG-SF",3.31,15,1.108,138,30,72,0.2
