"player","sprint","bench","wngspan_hgt","jumping_reach","overall_pick","games","win_shares","genpos"
"Derrick Zimmerman",3.1,13,1.11,136.8,40,2,0,"Guard"
"DeSagana Diop",3.56,15,1.104,138.5,8,601,12.8,"Big"
"Devin Booker",3.28,8,1.049,137,13,477,29.9,"Guard"
"Devin Ebanks",3.44,6,1.066,139.5,43,63,0.5,"Wing"
"Devin Harris",3.19,5,1.078,135.5,5,985,54.9,"Guard"
"Devon Hall",3.27,6,1.046,133,53,11,-0.2,"Guard"
"Dewan Hernandez",3.28,13,1.059,142.5,59,6,0,"Big"
"Dillon Brooks",3.21,16,1.013,138,45,272,5.3,"Wing"
"Dominic McGuire",3.25,12,1.044,138.5,47,342,4.1,"Wing"
"Dominique Jones",3.31,19,1.08,133.5,25,80,0.3,"Guard"
"Donovan Mitchell",3.01,10,1.119,137.5,13,345,29,"Guard"
"Donte DiVincenzo",3.11,12,1.033,139.5,17,201,9.2,"Guard"
"Doron Lamb",3.41,2,1.047,132,42,100,0.1,"Guard"
"Draymond Green",3.4,9,1.096,138,35,685,52.7,"Wing"
"Drew Gooden",3.19,13,1.046,139.5,4,790,43.9,"Big"
"Dwayne Bacon",3.22,8,1.068,140,40,207,0.8,"Wing"
"Dwight Howard",3.14,7,1.093,147,1,1242,141.7,"Big"
"Dwyane Wade",3.08,9,1.092,137,5,1054,120.7,"Wing"
"Dylan Windler",3.3,8,1.048,142,26,81,1.3,"Wing"
"Earl Clark",3.35,5,1.075,142.5,14,261,2.9,"Wing"
"Earl Watson",3.19,4,1.094,134.5,40,878,19.2,"Guard"
"Eddie Griffin",3.21,3,1.071,143,7,303,10.9,"Wing"
"Eddie House",3.27,5,1.052,133.5,37,717,20,"Guard"
"Eddy Curry",3.53,16,1.097,142,4,527,21.7,"Big"
"Ekpe Udoh",3.29,10,1.096,140,6,384,10.4,"Big"
"Emeka Okafor",3.15,22,1.09,144.5,2,616,45.3,"Big"
"Eric Gordon",3.01,15,1.095,139,7,749,36.3,"Guard"
"Eric Maynor",3.19,8,1.003,128.5,20,267,3.3,"Guard"
"Eric Paschall",3.3,18,1.074,141.5,41,158,5,"Wing"
"Eric Williams",3.56,17,1.114,135.5,14,658,23.2,"Big"
"Erik Murphy",3.57,13,1.022,137.5,49,24,-0.1,"Big"
"Evan Turner",3.27,9,1.029,138,2,705,20.2,"Guard"
"Fab Melo",3.44,9,1.045,141,22,6,0,"Big"
"Festus Ezeli",3.29,18,1.098,141.5,30,170,5.9,"Big"
"Frank Jackson",3.14,9,1.074,140,31,213,2.5,"Guard"
"Gani Lawal",3.24,20,1.057,139,46,1,0,"Big"
"Gary Trent",3.12,12,1.059,137.5,11,506,23.2,"Guard"
"George Hill",3.07,9,1.106,135,26,869,69.1,"Guard"
"George King",3.29,15,1.088,140.5,59,5,-0.1,"Wing"
"Gerald Green",3.21,7,1.048,143,18,658,18.4,"Wing"
"Gerald Henderson",3.14,8,1.082,137.5,12,535,18.3,"Wing"
"Gilbert Arenas",3.25,12,1.098,135.5,31,552,51.3,"Guard"
"Glen Rice",3.25,10,1.062,142,4,1000,88.7,"Wing"
"Gordon Hayward",3.22,10,1.013,137.5,9,734,60.1,"Wing"
"Grant Jerrett",3.51,2,1.065,143,40,8,-0.1,"Big"
"Grant Williams",3.33,20,1.051,136,22,209,7.7,"Big"
"Greg Monroe",3.35,15,1.055,137.5,7,646,50.4,"Big"
"Hakim Warrick",3.22,11,1.085,146,19,526,20.4,"Wing"
"Hamidou Diallo",3.1,1,1.095,143.5,45,207,4.9,"Guard"
"Harrison Barnes",3.16,15,1.054,141,7,747,44.8,"Wing"
"Harry Giles",3.34,5,1.074,142,20,142,3,"Big"
"Hassan Whiteside",3.54,12,1.103,144.5,33,511,52,"Big"
"Hilton Armstrong",3.53,13,1.08,140.5,12,292,3.9,"Big"
"Ignas Brazdeikis",3.36,13,1.045,138.5,47,64,0.4,"Wing"
"Ike Anigbogu",3.44,11,1.121,143,47,14,0,"Big"
"Ike Diogu",3.45,21,1.115,140,9,225,6.5,"Big"
"Iman Shumpert",3.18,18,1.069,141.5,17,461,12.9,"Guard"
"Isaiah Canaan",3.22,16,1.077,135,34,235,4.3,"Guard"
